raw,age
1.4,60.3
1.42,60.5
1.54,60.5
2,60.5
1.64,60.6
2.07,60.7
0.71,60.8
1.49,60.8
1.57,60.8
1.87,60.8
1.1,60.9
1.14,60.9
1.2,60.9
1.34,60.9
1.5,61
2.15,61
1.43,61.3
0.71,61.4
1.9,61.4
1.11,61.5
1.41,61.6
1.27,61.9
1.45,61.9
1.34,62
1.47,62
1.64,62.2
1.23,62.3
1.1,62.5
1.19,62.5
1.44,62.5
1.43,62.6
1.4,62.7
1.77,62.7
1.22,62.8
1.77,62.8
1.78,62.8
1.94,62.8
1.28,62.9
1.73,62.9
1.86,62.9
1.26,63
1.68,63.1
1.52,63.2
0.96,63.3
1.82,63.3
1.93,63.3
1.04,63.5
1.1,63.5
2.03,63.5
1.63,63.6
2.19,63.8
1.31,63.9
1.47,64
2.19,64
1.83,64.1
1.69,64.3
1.72,64.3
2.01,64.4
1.5,64.5
1.87,64.5
1.92,64.5
1.09,64.7
1.72,64.7
1.76,64.7
2.39,64.7
0.93,64.8
1.5,64.8
1.84,64.8
1.15,64.9
1.81,64.9
1.62,65
1.89,65
1.98,65
2.06,65
2.09,65.1
1.62,65.7
1.98,65.7
2.07,65.8
0.54,65.9
1.28,65.9
1.49,65.9
0.75,66
2.06,66
1.38,66.2
0.9,66.3
1.64,66.3
1.82,66.3
1.44,66.4
1.38,66.5
0.38,66.6
1.36,66.6
1.41,66.7
1.85,66.8
1.14,67
2.16,67
0.92,67.1
1.67,67.1
0.81,67.2
1.01,67.2
1.38,67.2
1.9,67.2
1.62,67.4
0.58,67.5
0.99,67.6
1.11,67.6
1.13,67.6
1.16,67.7
1.24,67.7
1.4,67.7
1.46,67.7
1.5,67.7
2.01,67.7
1.06,67.8
1.23,67.9
1.57,67.9
2.54,67.9
0.57,68
0.76,68
1.04,68
1.47,68
1.92,68
0.87,68.1
1.23,68.2
1.98,68.2
0.7,68.3
0.99,68.4
1.67,68.4
1.9,68.4
1.02,68.5
1.59,68.6
1.08,68.8
1.77,68.8
1.31,68.9
1.79,69
1.82,69.1
1.06,69.2
1.17,69.2
1.4,69.2
1.04,69.4
1.81,69.4
2.09,69.4
1.03,69.5
1.28,69.5
2.01,69.5
0.74,69.6
1.24,69.6
1.33,69.6
0.71,69.9
1.16,69.9
1.34,69.9
1.42,69.9
0.31,70
0.62,70
0.67,70
1.46,70
0.67,70.1
1.21,70.1
1.27,70.1
1.36,70.1
1.64,70.1
2,70.1
2.45,70.1
1.79,70.2
1.29,70.3
0.89,70.4
1.13,70.4
1.93,70.6
1.54,70.7
1.72,70.8
0.91,70.9
1.95,70.9
0.97,71
1.35,71
1.89,71
0.45,71.1
0.61,71.1
1.4,71.1
0.38,71.2
1.25,71.4
1.27,71.4
1.41,71.4
1.53,71.4
1.46,71.5
1.8,71.5
1.51,71.7
2.23,71.7
1.53,71.8
0.95,72
1.29,72
1.63,72
1.83,72.1
1.88,72.2
1.57,72.3
1.72,72.3
1.4,72.5
0.47,72.6
0.78,72.6
1.03,72.7
1.43,72.7
1.45,72.7
1.88,72.7
0.83,72.8
1.11,72.8
1.52,72.8
1.02,72.9
1.09,72.9
1.27,72.9
0.8,73
0.64,73.2
1.21,73.2
1.39,73.2
2.39,73.3
0.76,73.4
1.13,73.4
1.54,73.5
0.71,73.7
1.36,73.7
0.9,73.9
0.73,74
1.16,74
1.55,74
2.03,74
1.35,74.1
1.48,74.1
1.89,74.2
1.48,74.4
1.52,74.4
1.55,74.4
1.04,74.5
0.87,74.6
0.63,74.7
1,74.8
1.49,74.8
1.61,74.8
1.67,74.8
1.78,74.8
1.49,74.9
1.61,74.9
0.9,75
1.66,75
1.86,75
0.87,75.1
1,75.1
1.19,75.1
1.24,75.2
1.4,75.2
1,75.4
1.45,75.5
0.76,75.6
1,75.6
1.24,75.6
1.06,75.7
1.77,75.7
1.94,75.7
1.89,75.8
0.58,75.9
0.87,76
0.71,76.1
0.88,76.1
0.99,76.1
1.17,76.1
1.26,76.1
1.28,76.1
0.65,76.3
1.02,76.3
1.13,76.3
0.67,76.4
0.65,76.5
1.34,76.5
1.39,76.6
1.55,76.6
0.8,76.7
1.72,76.7
1.4,76.8
0.99,76.9
1.56,76.9
1.21,77
1.22,77
1.26,77
1.37,77.1
1.86,77.1
1.5,77.2
1.29,77.3
1.53,77.4
0.96,77.6
1.4,77.7
1.01,78.1
1.64,78.1
1.13,78.4
0.73,78.5
0.77,78.5
0.79,78.5
1.38,78.5
0.7,78.6
1.28,78.6
1.29,78.6
1.16,78.9
1.72,79.2
1.25,79.3
0.5,79.4
1.17,79.4
1.59,79.4
1.46,79.7
1.2,79.8
1.07,80.1
1.22,80.2
1.43,80.2
0.68,80.4
1.04,80.5
1.12,80.5
0,80.6
0.27,80.6
1.3,80.6
1.36,80.6
1.4,80.7
0.96,80.8
1.48,80.8
1,80.9
0.99,81.2
1.63,81.5
1.67,81.5
0.89,81.6
1.48,82
1.78,82
1.32,82.3
1.89,82.4
0.64,82.5
1.03,82.5
0.89,82.6
1.52,82.6
1.73,82.9
2.61,82.9
1.3,83.2
0.59,83.5
1.74,83.5
1.33,83.8
0.75,84.3
1.13,84.3
1.74,84.3
0.99,84.7
0.55,84.8
1.57,85
0.41,85.1
1.04,85.2
0.61,85.8
1.24,85.9
1.11,86.3
0.98,86.5
1.51,86.6
0.8,86.8
0.91,87
0.96,87
0.83,87.7
0.7,87.8
0.72,88.1
1.33,88.4
1.69,88.9
1.15,89
1.45,89
1.55,89.9
1.32,90.4
0.55,90.5
0.81,90.7
1.56,94.2
